"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.424235333E0,4.405761957E-1,6.491065025E-1,-1.239610687E-1
6.444274333E0,-3.157147765E-1,2.155595541E0,3.509238064E-1
6.464313333E0,-6.164210439E-1,1.913751483E0,5.338627100E-1
6.484352333E0,-2.174671441E-1,8.770487309E-1,2.901135385E-1
6.504391333E0,3.662168980E-1,2.960834801E-1,1.654572412E-2
6.524430334E0,6.575204730E-1,5.766549110E-1,-1.034410372E-1
6.544469333E0,4.005535543E-1,5.555760264E-1,2.804128453E-2
6.564508333E0,1.422340274E-1,6.635263562E-1,8.614709973E-2
6.584547333E0,-8.051423356E-3,6.640414596E-1,2.681743503E-1
6.604586333E0,-3.573106527E-1,7.760198116E-1,3.015875220E-1
6.624625334E0,-3.590395153E-1,9.851875305E-1,1.541726589E-1
6.644664333E0,4.768660292E-2,7.172182202E-1,1.965316013E-2
6.664703333E0,-4.999719188E-2,6.361812949E-1,2.862855196E-1
6.684742333E0,-4.947665334E-1,4.637432694E-1,7.344865799E-1
6.704781333E0,-6.246364713E-1,-3.233079612E-1,6.339624524E-1
6.724820334E0,-2.784576118E-1,-5.262737274E-1,2.120874673E-1
6.744859333E0,9.005589038E-2,-4.872315526E-1,-5.189085752E-2
6.764898333E0,5.066941381E-1,-5.743281841E-1,-2.312372476E-1
6.784937333E0,3.730966449E-1,1.794193089E-1,-1.661456078E-1
6.804976333E0,-1.323755383E-1,1.105384231E0,1.174190268E-1
6.825015333E0,-1.493178159E-1,9.140564203E-1,-1.024668887E-1
6.845053666E0,2.307929248E-1,8.826588392E-1,-4.009779394E-1
6.865092667E0,4.304713607E-1,6.320433021E-1,-5.092031956E-1
6.885131666E0,4.694592953E-1,5.040566325E-1,-3.601296246E-1
6.905170667E0,4.809259474E-1,4.803906977E-1,-5.899454281E-2
6.925209667E0,6.609924436E-1,2.504821122E-1,2.238827646E-1
6.945248666E0,1.078656912E0,-2.929165065E-1,3.068729341E-1
6.965287667E0,1.471766472E0,-1.086152315E0,9.243954718E-2
6.985326666E0,1.540605664E0,-1.174749136E0,-1.775724292E-1
7.005365667E0,1.222820401E0,-8.783223033E-1,-2.383784950E-1
7.025404667E0,7.903137803E-1,-3.802460432E-1,-1.703748107E-1
7.045443666E0,4.389499128E-1,-3.483511209E-1,-4.490299523E-2
7.065482667E0,2.451724410E-1,-5.810118914E-1,-5.316403508E-2
7.085521666E0,2.053860128E-1,-8.321950436E-1,-1.663592011E-1
7.105560667E0,1.558286995E-1,-9.660038948E-1,-2.693161666E-1
7.125599666E0,2.766645141E-2,-8.916181922E-1,-3.873295188E-1
7.145638666E0,-2.552764118E-1,-6.136599779E-1,-5.796585679E-1
7.165677667E0,-6.284496188E-1,-4.240786433E-1,-5.321964622E-1
7.185716666E0,-7.070608139E-1,-4.483855069E-1,-2.243452519E-1
7.205755667E0,-5.494163036E-1,-3.997139037E-1,-4.372348264E-2
7.225794666E0,-7.823885083E-1,-2.463899702E-1,2.068633437E-1
7.245833667E0,-1.228577137E0,2.996672876E-2,2.462549508E-1
7.265872667E0,-1.571180820E0,2.789541781E-1,1.563705653E-1
7.285911666E0,-1.694189906E0,4.383082390E-1,2.712651491E-1
7.305950667E0,-1.675300121E0,3.906027079E-1,5.185815096E-1
7.325989666E0,-1.442617536E0,2.356552035E-1,6.830335855E-1
7.346028667E0,-9.706182480E-1,1.097854003E-1,6.389473081E-1
7.366067667E0,-3.870369196E-1,-3.333668411E-1,4.177496433E-1
7.386106666E0,2.836925685E-1,-6.264908910E-1,-2.081924118E-2
7.406145667E0,6.649144292E-1,-2.795685232E-1,-3.290178180E-1
7.426184666E0,5.410538912E-1,6.133632734E-2,-3.083466887E-1
